value_date,domestic_aviation,total_ets_emissions,ground_transport,total_co2_emissions,power,industry,country,frequency,super_region
2023-03-31,2477.670220453571,389793.2885348159,329236.63679412944,719029.9253289453,219909.18835625533,167406.42995810695,Italy,monthly,EU
2023-03-31,8512.500083404631,221552.53000792523,455617.46495388396,677169.9949618091,120488.53316530617,92551.49675921444,France,monthly,EU
2023-03-31,16501.1762732549,256899.71385496334,295004.84317176725,551904.5570267306,87370.57875526648,153027.95882644196,Spain,monthly,EU
2020-01-31,5114.500850750873,396293.18715018645,,,248812.05299998703,142366.63329944853,Italy,monthly,EU
2020-02-29,5287.635943356572,397031.755556918,194680.87274845774,591712.6283053757,219003.13194071813,172740.9876728433,Italy,monthly,EU
2016-03-31,17526.893150684933,295720.1415735186,,,118349.02364113815,159844.2247816955,Spain,monthly,EU
2016-04-30,17526.893150684933,262692.8867503227,,,89083.38557139503,156082.60802824274,Spain,monthly,EU
2016-05-31,17526.893150684933,276776.7299375433,,,97034.0883336965,162215.74845316182,Spain,monthly,EU
2016-06-30,17526.893150684933,305878.5274536635,,,148697.95366441863,139653.68063855995,Spain,monthly,EU
2016-07-31,17526.893150684933,388932.1531763811,,,214204.728192239,157200.53183345715,Spain,monthly,EU
2016-08-31,17526.893150684933,370433.5195652168,,,196299.38605266126,156607.24036187062,Spain,monthly,EU
2016-09-30,17526.893150684933,413167.3095187927,,,240864.91889948287,154775.49746862493,Spain,monthly,EU
2016-10-31,17526.893150684933,424477.28450787516,,,252409.44368642612,154540.9476707641,Spain,monthly,EU
2016-11-30,17526.893150684933,448155.93876892544,,,270868.59302347363,159760.4525947669,Spain,monthly,EU
2016-12-31,17526.893150684933,423156.55851966894,,,281603.6136437719,124026.05172521205,Spain,monthly,EU
2017-01-31,18583.405479452056,447260.3722863198,,,282274.05569290527,146402.9111139625,Spain,monthly,EU
2017-02-28,18583.405479452056,383770.5369722084,,,206471.87679883392,158715.25469392244,Spain,monthly,EU
2017-03-31,18583.405479452056,302575.2888020884,,,131106.14367331332,152885.73964932308,Spain,monthly,EU
2017-04-30,18583.405479452056,312573.5027441501,,,132854.58162777347,161135.5156369246,Spain,monthly,EU
2019-07-31,43600.42089250336,376056.8307356272,,,182193.70746264883,150262.70238047506,Spain,monthly,EU
2018-04-30,26048.70684931507,1118396.3234694456,,,755205.7718808128,337141.8447393177,Germany,monthly,EU
2018-05-31,26048.70684931507,1080451.2372554287,,,708620.7679935636,345781.7624125502,Germany,monthly,EU
2018-06-30,26048.70684931507,1161834.2047446065,,,819117.8030280684,316667.6948672232,Germany,monthly,EU
2018-07-31,26048.70684931507,1303824.3305104123,,,909441.1929131142,368334.4307479832,Germany,monthly,EU
2018-08-31,26048.70684931507,1231129.4595867414,,,851483.5013516815,353597.25138574495,Germany,monthly,EU
2018-09-30,26048.70684931507,1270275.3249534904,,,875091.7729703173,369134.84513385815,Germany,monthly,EU
2018-10-31,26048.70684931507,1309407.7408780016,,,928766.2268943376,354592.807134349,Germany,monthly,EU
2018-11-30,26048.70684931507,1418786.0296301115,,,1005912.048528776,386825.2742520206,Germany,monthly,EU
2018-12-31,26048.70684931507,1233554.6044149837,,,809505.775647381,398000.1219182877,Germany,monthly,EU
2019-01-31,13924.32009254572,1205862.0397889186,,,899166.3649052822,292771.35479109053,Germany,monthly,EU
2019-02-28,15273.492388925235,1163830.8572261622,,,871122.7930467409,277434.57179049606,Germany,monthly,EU
2019-03-31,16546.534478466278,875493.7954914409,,,593388.9570959761,265558.30391699856,Germany,monthly,EU
2019-04-30,17885.578832491385,1014956.4492431317,,,657860.2471661145,339210.6232445258,Germany,monthly,EU
2019-05-31,19182.482269724005,1004382.9885360448,,,617879.7219454214,367320.78432089946,Germany,monthly,EU
2019-06-30,29456.07954237838,895139.3434561281,,,525196.3569409312,340486.9069728185,Germany,monthly,EU
2019-07-31,32739.936610107656,956032.9638475945,,,611351.8537067649,311941.173530722,Germany,monthly,EU
2019-08-31,32671.472940465246,966605.9242635474,,,589897.246834499,344037.20448858326,Germany,monthly,EU
2019-09-30,33220.11639923833,973510.7388956356,,,583400.6595206779,356889.9629757194,Germany,monthly,EU
2019-10-31,34171.4729196639,1044678.4154562291,,,670446.8841373166,340060.0583992487,Germany,monthly,EU
2019-11-30,28481.986113444833,1193873.4988897769,,,858526.6149030704,306864.8978732617,Germany,monthly,EU
2019-12-31,25754.958446377557,963020.234136274,,,607276.533915623,329988.7417742735,Germany,monthly,EU
2020-01-31,24420.81552757409,1002505.4827231568,,,684143.4993407703,293941.16785481246,Germany,monthly,EU
2020-02-29,26508.055456615588,758426.4877282466,425010.03348865005,1183436.5212168966,450798.5864291922,281119.8458424387,Germany,monthly,EU
2020-03-31,22431.844924705943,799426.9082880054,424847.7454365051,1224274.6537245105,493087.93980830803,283907.1235549914,Germany,monthly,EU
2020-04-30,11174.634382114347,669735.6169218533,428967.1925356348,1098702.8094574881,342599.30174330284,315961.68079643603,Germany,monthly,EU
2020-05-31,7074.7248565042355,656285.1056276776,448683.7259156216,1104968.8315432994,358103.73084255523,291106.6499286182,Germany,monthly,EU
2020-06-30,8403.728649150253,764383.0170949672,489877.23973116034,1254260.2568261274,451707.69778676785,304271.5906590491,Germany,monthly,EU
2020-07-31,12452.514500550851,786093.9814101494,502960.820824426,1289054.8022345754,481951.7125866046,291689.75432299403,Germany,monthly,EU
2017-03-31,25313.854794520546,1211760.0859053477,,,885340.6196805001,301105.61143032694,Germany,monthly,EU
2017-04-30,25313.854794520546,1145319.8223671333,,,814325.0245000721,305680.9430725407,Germany,monthly,EU
2017-05-31,25313.854794520546,1162259.9285700729,,,825290.0876505857,311655.9861249664,Germany,monthly,EU
2017-06-30,25313.854794520546,1111434.1900515503,,,738181.6605825232,347938.67467450636,Germany,monthly,EU
2017-07-31,25313.854794520546,1135524.8297918278,,,768221.3293115865,341989.64568572084,Germany,monthly,EU
2017-08-31,25313.854794520546,1142572.1655888653,,,765047.0971355706,352211.2136587739,Germany,monthly,EU
2017-09-30,25313.854794520546,1192928.735327594,,,848584.6701324582,319030.2104006151,Germany,monthly,EU
2017-10-31,25313.854794520546,1113859.9243584198,,,748685.2189881488,339860.85057575046,Germany,monthly,EU
2017-11-30,25313.854794520546,1305208.2570298857,,,924469.6309903854,355424.77124497964,Germany,monthly,EU
2017-12-31,25313.854794520546,1153194.5757824716,,,775546.3550424245,352334.3659455263,Germany,monthly,EU
